Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,BB_Middle,BB_Std,BB_Upper,BB_Lower,BB_Width,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,Daily_Return,Cumulative_Return,Volatility_30,Daily_Range,Year,Month,Month_Name,Quarter,Day_of_Week,Week_Number,Trend,RSI_Signal,MACD_Signal_Flag
2020-01-01,12182.5,12222.2001953125,12165.2998046875,12202.150390625,304100,,,,12182.5,12182.5,,,,,,,0.0,0.0,0.0,,,,56.900390625,2020,1,January,1,Wednesday,1,Downtrend,Neutral,Bearish
2020-01-02,12282.2001953125,12289.900390625,12195.25,12198.5498046875,407700,,,,12191.995256696428,12186.409811580883,,,,,,,7.953291933761648,1.5906583867523296,6.3626335470093185,0.8183886337984836,1.0081838863379848,,94.650390625,2020,1,January,1,Thursday,1,Downtrend,Neutral,Bullish
2020-01-03,12226.650390625,12265.599609375,12191.349609375,12261.099609375,428800,,,,12195.295745642006,12187.987873504182,,,,,,,9.662544306407653,3.2050355706833944,6.457508735724259,-0.4522789386603554,1.0036240829571106,,74.25,2020,1,January,1,Friday,1,Downtrend,Neutral,Bullish
2020-01-06,11993.0498046875,12179.099609375,11974.2001953125,12170.599609375,396500,,,,12176.034227455862,12180.343243354508,,,,,,,-7.743216893015415,1.0153850779436324,-8.758601970959047,-1.9105853072941215,0.9844489886876666,,204.8994140625,2020,1,January,1,Monday,2,Downtrend,Neutral,Bearish
2020-01-07,12052.9501953125,12152.150390625,12005.349609375,12079.099609375,447800,,,,12164.311938680305,12175.347437548939,,,,,,,-16.513588758454716,-2.4904096893360377,-14.02317906911868,0.4994592001242859,0.9893659097321976,,146.80078125,2020,1,January,1,Tuesday,2,Downtrend,Neutral,Bearish
2020-01-08,12025.349609375,12044.9501953125,11929.599609375,11939.099609375,446000,,,,12151.077431127418,12169.465169777412,,,,,,,-25.398529824587968,-7.072033716386423,-18.326496108201546,-0.22899444111396106,0.9871003167966343,,115.3505859375,2020,1,January,1,Wednesday,2,Downtrend,Neutral,Bearish
2020-01-09,12215.900390625,12224.0498046875,12132.5498046875,12153.150390625,477500,,,,12157.251046317662,12171.286158830259,,,,,,,-16.86959192968061,-9.03154535904526,-7.838046570635349,1.5845758122611686,1.0027416696593472,,91.5,2020,1,January,1,Thursday,2,Downtrend,Neutral,Bearish
2020-01-10,12256.7998046875,12311.2001953125,12213.2001953125,12271.0,660600,,,,12166.731880448124,12174.639635138386,,,,,,,-6.732498247150943,-8.571735936666398,1.8392376895154552,0.33480474426501594,1.006098896342089,,98.0,2020,1,January,1,Friday,2,Downtrend,Neutral,Bullish
2020-01-13,12329.5498046875,12337.75,12285.7998046875,12296.7001953125,501000,,,,12182.238349423302,12180.714543748156,,,,,,,7.089811598103552,-5.439426429712408,12.52923802781596,0.5935480807329307,1.0120705770316025,,51.9501953125,2020,1,January,1,Monday,3,Downtrend,Neutral,Bullish
2020-01-14,12362.2998046875,12374.25,12308.7001953125,12333.099609375,616300,,,,12199.387059448463,12187.83553437323,,,,,,,20.450996672325346,-0.2613418093048576,20.712338481630205,0.2656220260982112,1.0147588594038577,,65.5498046875,2020,1,January,1,Tuesday,3,Downtrend,Neutral,Bullish
2020-01-15,12343.2998046875,12355.150390625,12278.75,12349.400390625,684400,,,,12213.093035185515,12193.93217242477,,,,,,,29.17043230971285,5.625013014498684,23.545419295214167,-0.15369308543056182,1.01319924520316,,76.400390625,2020,1,January,1,Wednesday,3,Downtrend,Neutral,Bullish
2020-01-16,12355.5,12389.0498046875,12315.7998046875,12347.099609375,395700,,,,12226.655603263085,12200.268165663014,,,,,,,36.6427073518571,11.828551881970366,24.81415546988673,0.09884063018437139,1.014200697722142,,73.25,2020,1,January,1,Thursday,3,Downtrend,Neutral,Bullish
2020-01-17,12352.349609375,12385.4501953125,12321.400390625,12328.400390625,502100,,,,12238.626460988029,12206.232143847797,,,,,,,41.828159972032154,17.828473499982724,23.99968647204943,-0.0254978804985595,1.0139420980402214,,64.0498046875,2020,1,January,1,Friday,3,Downtrend,Neutral,Bullish
2020-01-20,12224.5498046875,12430.5,12216.900390625,12430.5,491600,,,,12237.285827054644,12206.95048348857,,,,,,52.155400690585196,35.21930612419783,21.306640024825747,13.912666099372082,-1.0346193941151438,1.0034516564487992,,213.599609375,2020,1,January,1,Monday,4,Downtrend,Neutral,Bullish
2020-01-21,12169.849609375,12230.0498046875,12162.2998046875,12195.2998046875,400,,,,12230.863330132774,12205.495547248822,,,,,,49.38599418320257,25.27652121992105,22.10061626384481,3.1759049560762413,-0.4474618385662321,0.99896159321773,,67.75,2020,1,January,1,Tuesday,4,Downtrend,Neutral,Bullish
2020-01-22,12106.900390625,12225.0498046875,12087.900390625,12218.349609375,500,,,,12219.057335893936,12201.629070518475,,,,,,41.176788633590995,12.176948403523056,20.115882691780463,-7.938934288257407,-0.5172555189302153,0.9937944092448181,,137.1494140625,2020,1,January,1,Wednesday,4,Downtrend,Neutral,Bearish
2020-01-23,12180.349609375,12189.0,12094.099609375,12123.75,867700,,,,12215.370885749277,12200.794581846181,,,,,,47.71083034303747,7.634178622543914,17.619541877933152,-9.985363255389238,0.606672363529781,0.9998234852760105,,94.900390625,2020,1,January,1,Thursday,4,Downtrend,Neutral,Bearish
2020-01-24,12248.25,12272.150390625,12149.650390625,12174.5498046875,593200,,,,12218.502229963631,12202.655578636526,,,,,,65.08987810300326,9.404584700152554,15.976550442377034,-6.57196574222448,0.5574584704263197,1.0053970859839934,,122.5,2020,1,January,1,Friday,4,Downtrend,Neutral,Bearish
2020-01-27,12119.0,12216.599609375,12107.0,12197.099609375,441200,,,,12209.025827109952,12199.374967709604,,,,,,53.609475413300544,0.3739389239181037,12.856028138685248,-12.482089214767145,-1.0552527912150667,0.9947876051713523,,109.599609375,2020,1,January,1,Monday,5,Downtrend,Neutral,Bearish
2020-01-28,12055.7998046875,12163.5498046875,12024.5,12148.099609375,478500,12204.154931640625,,,12194.432872593528,12193.744569159717,12204.154931640625,116.3388794985781,12436.832690637782,11971.477172643468,465.35551799431414,51.601714879238266,-11.747225785227783,7.935377353902643,-19.68260313913043,-0.5214967844912932,0.9895998197978658,,139.0498046875,2020,1,January,1,Tuesday,5,Downtrend,Neutral,Bearish
2020-01-29,12129.5,12169.599609375,12103.7998046875,12114.900390625,514400,12201.504931640626,,,12188.248789489382,12191.225174290708,12201.504931640626,117.4563604360125,12436.417652512651,11966.5922107686,469.8254417440512,44.818251673874435,-15.230775423759042,3.302146798370307,-18.532922222129347,0.6113256399948197,0.9956494972296327,,65.7998046875,2020,1,January,1,Wednesday,5,Downtrend,Neutral,Bearish
2020-01-30,12035.7998046875,12150.2998046875,12010.599609375,12147.75,538100,12189.184912109375,,,12173.729838555868,12185.13006175725,12189.184912109375,121.40292665879305,12431.990765426961,11946.379058791788,485.6117066351726,37.53525098702763,-25.261141570912514,-2.410510875486258,-22.850630695426254,-0.7724984155365044,0.9879581206392366,,139.7001953125,2020,1,January,1,Thursday,5,Downtrend,Neutral,Bearish
